Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV,Inter_Spike_Interval_s,Spike_Category
375,168176,-0.201,-0.247,4.0,Medium
376,168178,-0.151,-0.22,2.0,Small
377,168182,-0.153,-0.214,4.0,Small
378,168186,-0.193,-0.256,4.0,Medium
379,168188,-0.173,-0.216,2.0,Small
380,168195,-0.177,-0.206,7.0,Small
381,168198,-0.162,-0.262,3.0,Small
382,168202,-0.191,-0.23,4.0,Medium
383,168217,-0.207,-0.239,15.0,Medium
384,168221,-0.186,-0.221,4.0,Medium
385,168224,-0.194,-0.232,3.0,Medium
386,168226,-0.154,-0.223,2.0,Small
387,168232,-0.16299999999999998,-0.174,6.0,Small
388,168235,-0.197,-0.247,3.0,Medium
389,168238,-0.196,-0.269,3.0,Medium
390,168245,-0.188,-0.202,7.0,Medium
391,168252,-0.15800000000000003,-0.27,7.0,Small
392,168263,-0.183,-0.209,11.0,Medium
393,168288,-0.161,-0.194,25.0,Small
394,168301,-0.20400000000000001,-0.263,13.0,Medium
395,168306,-0.151,-0.205,5.0,Small
