Time,Channel_1,Channel_3,Channel_5,Channel_7,Channel_9
165216,-0.022,0.037,0.012,-0.084,0.054
165217,-0.024,0.039,0.004,-0.241,0.098
165218,-0.026,0.034,0.009,-0.034,0.003
165219,-0.026,0.034,0.011,-0.05,0.036
165220,-0.038,0.037,0.011,-0.041,0.032
165221,-0.039,0.032,0.007,-0.231,0.109
165222,-0.042,0.039,0.009,-0.06,0.008
165223,-0.038,0.044,0.007,-0.224,0.115
165224,-0.035,0.029,0.003,-0.218,0.06
165225,-0.036,0.017,0.003,-0.128,-0.004
165226,-0.039,0.008,0.012,-0.065,0.051
165227,-0.038,0.006,0.005,-0.197,0.067
165228,-0.031,0.011,0.012,-0.102,0.066
165229,-0.034,0.015,0.004,-0.189,0.067
165230,-0.03,0.014,0.008,-0.178,0.048
165231,-0.025,0.019,0.012,-0.085,0.051
165232,-0.033,0.015,0.005,-0.221,0.084
165233,-0.042,0.014,0.011,-0.025,0.004
165234,-0.031,0.012,0.008,-0.216,0.109
165235,-0.026,0.005,0.007,-0.047,-0.01
165236,-0.024,0.005,0.011,-0.136,0.082
165237,-0.026,0.009,0.008,-0.248,0.144
165238,-0.029,0.011,0.005,-0.161,0.057
165239,-0.026,0.01,0.011,-0.12,0.079
165240,-0.029,0.012,0.009,-0.229,0.131
165241,-0.036,0.009,0.005,-0.166,0.052
165242,-0.033,0.01,0.012,-0.098,0.066
165243,-0.028,0.008,0.005,-0.273,0.129
165244,-0.025,0.01,0.008,-0.031,-0.006
165245,-0.02,0.014,0.012,-0.062,0.001
165246,-0.013,0.009,0.008,-0.225,0.121
165247,-0.01,0.008,0.007,-0.077,0.007
165248,-0.007,0.011,0.011,-0.181,0.113
165249,-0.01,0.009,0.008,-0.244,0.139
165250,-0.018,0.016,0.009,-0.21,0.127
165251,-0.022,0.015,0.003,-0.237,0.098
165252,-0.028,0.011,0.007,-0.065,-0.001
165253,-0.025,0.017,0.009,-0.029,-0.008
165254,-0.03,0.027,0.009,-0.197,0.112
165255,-0.032,0.026,0.004,-0.139,0.025
165256,-0.017,0.016,0.005,-0.043,0.014
165257,-0.01,0.014,0.007,-0.139,0.068
165258,-0.011,0.012,0.008,-0.172,0.082
165259,-0.02,0.008,0.009,-0.173,0.057
165260,-0.023,0.005,0.008,-0.152,0.087
165261,-0.029,0.006,0.008,-0.188,0.093
165262,-0.027,0.002,0.004,-0.18,0.043
165263,-0.029,0.002,0.011,-0.057,0.027
165264,-0.029,-0.01,0.005,-0.241,0.104
165265,-0.029,-0.022,0.011,-0.073,0.029
165266,-0.027,-0.01,0.006,-0.255,0.125
165267,-0.03,0.024,0.007,-0.078,0.006
165268,-0.032,0.04,0.01,-0.208,0.128
165269,-0.029,0.048,0.004,-0.16,0.037
165270,-0.024,0.049,0.004,-0.157,0.11
165271,-0.024,0.051,0.004,-0.262,0.115
165272,-0.039,0.041,0.009,-0.043,-0.002
165273,-0.042,0.032,0.012,-0.132,0.092
165274,-0.04,0.033,0.005,-0.165,0.056
165275,-0.043,0.035,0.012,-0.085,0.055
165276,-0.036,0.035,0.005,-0.214,0.09
165277,-0.037,0.039,0.005,-0.108,0.003
165278,-0.039,0.043,0.011,-0.118,0.079
165279,-0.047,0.046,0.005,-0.281,0.139
165280,-0.045,0.036,0.005,-0.257,0.09
165281,-0.04,0.031,0.003,-0.148,0.08
165282,-0.04,0.033,0.011,-0.072,0.042
165283,-0.039,0.049,0.012,-0.092,0.066
165284,-0.035,0.047,0.005,-0.179,0.067
165285,-0.021,0.04,0.012,-0.076,0.042
165286,-0.028,0.04,0.005,-0.219,0.098
165287,-0.027,0.039,0.009,-0.027,-0.001
165288,-0.026,0.032,0.01,-0.175,0.11
165289,-0.025,0.023,0.01,-0.219,0.132
165290,-0.025,0.016,0.012,-0.099,0.067
165291,-0.025,0.015,0.006,-0.221,0.108
165292,-0.027,0.015,0.003,-0.142,0.009
165293,-0.028,0.005,0.011,-0.058,0.034
165294,-0.028,-0.015,0.004,-0.183,0.058
165295,-0.031,-0.022,0.011,-0.097,0.062
165296,-0.034,-0.014,0.01,-0.169,0.113
165297,-0.033,-0.01,0.01,-0.219,0.135
165298,-0.031,0.0,0.008,-0.265,0.145
165299,-0.031,0.008,0.004,-0.178,0.061
165300,-0.036,0.017,0.004,-0.143,0.02
165301,-0.039,0.02,0.004,-0.1,-0.01
165302,-0.038,0.026,0.005,-0.078,0.033
165303,-0.035,0.031,0.01,-0.021,-0.001
165304,-0.03,0.039,0.008,-0.223,0.121
165305,-0.037,0.041,0.003,-0.201,0.067
165306,-0.039,0.035,0.011,-0.069,0.038
165307,-0.029,0.03,0.004,-0.248,0.102
165308,-0.037,0.025,0.003,-0.24,0.088
165309,-0.037,0.025,0.011,-0.064,0.023
165310,-0.028,0.035,0.011,-0.056,0.034
165311,-0.023,0.041,0.007,-0.228,0.116
165312,-0.016,0.048,0.009,-0.064,0.014
165313,-0.017,0.066,0.012,-0.073,0.072
165314,-0.018,0.058,0.011,-0.199,0.077
165315,-0.031,0.044,0.004,-0.15,0.048
165316,-0.038,0.036,0.008,-0.127,0.012
165317,-0.036,0.018,0.012,-0.068,0.041
165318,-0.034,0.006,0.012,-0.1,0.076
165319,-0.033,0.002,0.006,-0.185,0.077
165320,-0.035,0.009,0.005,-0.09,0.006
165321,-0.042,0.029,0.012,-0.047,0.032
165322,-0.043,0.034,0.006,-0.195,0.083
165323,-0.05,0.055,0.008,-0.153,0.062
165324,-0.044,0.073,0.008,-0.154,0.069
165325,-0.041,0.074,0.01,-0.183,0.11
165326,-0.037,0.068,0.009,-0.118,0.055
165327,-0.028,0.034,0.004,-0.171,0.086
165328,-0.038,0.003,0.011,-0.063,0.042
165329,-0.037,0.001,0.009,-0.193,0.12
165330,-0.036,0.013,0.011,-0.186,0.124
165331,-0.036,0.01,0.005,-0.154,0.048
165332,-0.033,0.007,0.013,-0.034,0.022
165333,-0.036,0.015,0.007,-0.213,0.109
